西黄丸
单硝酸异山梨酯缓释胶囊(Ⅳ)
硼酸洗液
阿莫西林克拉维酸钾(4:1)
香药风湿止痛膏
双歧杆菌三联活菌胶囊
复方肝素钠尿囊素凝胶
益气聪明丸
注射用尿促性素
双蚁祛湿通络胶囊
微电脑穴位治疗仪(商品名：路德银针)
葡醛内酯胶囊
丙酸氟替卡松乳膏
红霉素眼膏
盐酸甲氯芬酯胶囊
主动脉内球囊导管及附件
水杨酸钠片
消银片
迷走神经刺激仪
阿莫西林克拉维酸钾分散片
注射用红色诺卡氏菌细胞壁骨架
口腔炎喷雾剂
打结钳
普乐安胶囊
云南白药气雾剂
果糖注射液
等离子手术电极
益母草膏
消肿片
克林霉素磷酸酯注射液
断血流颗粒
体外引流及监测系统
过氧化氢溶液
复方氨维胶囊
磺胺二甲嘧啶片
清凉含片
消风止痒颗粒
哈西奈德乳膏
RCZ-85T型磁振热治疗仪
赖氨酸维B12颗粒
注射用胸腺五肽
跳骨片
双氯芬酸钠缓释片(迪根)
萘哌地尔片
尼可刹米注射液
通络生骨胶囊
吡罗昔康
复方丹参含片
奥卡西平片
莫匹罗星软膏
硫酸庆大霉素氟米龙滴眼液
头孢氨苄甲氧苄啶胶囊
参一胶囊
上肢矫形器
消炎利胆软胶囊
益鼻喷雾剂
风油精
妇康丸
洛莫司汀
头孢噻肟钠
烂积丸
布洛芬片
帕米膦酸二钠葡萄糖注射液
醋酸环丙孕酮片
复方黄松洗液
重感灵片
盐酸丙米嗪片
复方甘菊利多卡因凝胶
右旋糖酐40氯化钠注射液
骨刺宁胶囊
麻仁软胶囊
盐酸奥昔布宁片
塞克硝唑胶囊
蛇胆陈皮胶囊
重组牛碱性成纤维细胞生子因子滴眼液
化癥回生口服液
克银丸
罗红霉素胶囊
冠状动脉预装带膜支架
电动脊柱减压系统
盐酸氯丙嗪片
米非司酮片
曲匹地尔片
肠梗阻导管套件
头孢氨苄胶囊
红花清肝十三味丸
补脑安神片
醋酸曲安奈德益康唑乳膏
咽炎清片
注射用放线菌素D
硫酸庆大霉素颗粒
普丽康重组促卵泡素β注射液
痘必达-肤面修复护理敷料
酮洛芬凝胶
注射用胸腺法新
甲硫酸新斯的明
葡萄糖酸锌颗粒
复方水杨酸甲酯乳膏
盐酸溴己新片
跖骨趾关节假体
清肝片
脾多肽注射液
盐酸克林霉素棕榈酸酯颗粒
3+银乳腺贴
复方阿胶浆
一次性使用脑室外引流器
左旋多巴胶囊
脑力静糖浆
奥硝唑氯化钠注射液
吸水垫(商品名：速洁)
巴氯芬
儿童回春颗粒
参苓白术散
酮康唑
肌苷注射液
二十五味珊瑚丸
金莲花胶囊
膦甲酸钠氯化钠注射液
酒石酸美托洛尔缓释片
泮托拉唑钠肠溶片
雌二醇缓释贴片
注射用盐酸万古霉素
CT结肠图像CAD软件
立体动态干涉波治疗系统
丹鹿通督片
云南白药膏
结核灵片
栓塞弹簧圈
注射用磷酸氟达拉滨
乙肝扶正胶囊
强力感冒片
眼眶测量器
产复康颗粒
绞股蓝总甙片
川芎茶调散
流感病毒裂解疫苗
麝香祛痛搽剂
氯霉素眼膏
人凝血因子Ⅷ
拨云退翳丸
黄栀花口服液
叶下珠胶囊
果糖二磷酸钠胶囊
硫酸长春碱
桂龙咳喘宁胶囊
复方硫酸软骨素片
盐酸左旋咪唑搽剂
藻酸双酯钠片
复方石淋通片
利培酮分散片
盐酸二甲双胍肠溶片
钛合金颅颜面骨钉
哈西奈德软膏
苓桂咳喘宁胶囊
十八味党参丸
盐酸多沙普仑注射液
抗饥消渴片
仲景胃灵胶囊
呋塞米
双氯芬酸二乙胺
西沙必利胶囊
左乙拉西坦片
新生儿遗传代谢病筛查血样采集卡
硝苯地平片
阿巴卡韦双夫定片
注射用丁二磺酸腺苷蛋氨酸
芪斛楂颗粒
盐酸氨溴索口服溶液
注射用盐酸平阳霉素
环孢素软胶囊
肺结核丸
枸橼酸他莫昔芬片
乙酰胺吡咯烷酮片
久痢丸
养血生发胶囊
双波长激光系统
甲巯咪唑乳膏
叶酸片
复方氨基酸胶囊(8-11)
愈酚溴新口服溶液
复方氯己定含漱液
头孢拉定片
鹿胎颗粒
